State,Points,Rank
CO,149.04,1
CA,140.07,2
MA,139.91,3
MN,138.63,4
NJ,137.96,5
MD,137.54,6
CT,137.5,7
PA,136.29,8
IL,135.52,9
UT,126.85,10
RI,126.37,11
OH,125.78,12
FL,124.34,13
NE,124.05,14
MI,123.17,15
VA,123.06,16
WA,122.42,17
VT,120.62,18
TX,120.42,19
OR,120.15,20
WI,118.53,21
NY,118.44,22
ND,117.55,23
IA,114.5,24
DE,113.7,25
MO,112.36,26
NC,112.18,27
NH,112.14,28
HI,111.12,29
GA,110.93,30
KS,109.95,31
ID,108.41,32
ME,107.53,33
MT,106.91,34
TN,105.84,35
OK,101.1,36
AZ,99.19,37
KY,97.95,38
SD,97.15,39
IN,96.22,40
NV,96.17,41
WY,94.77,42
LA,93.15,43
NM,90.59,44
SC,90.45,45
WV,89.19,46
AR,87.57,47
AK,83.77,48
AL,83.48,49
MS,71.49,50
